"All parcel data in this report is for use by the Washoe County Assessor for assessment purposes only. The summary data in this report may not be a complete representation of the parcel or of the improvements thereon. Building information, including unit counts and number of permitted units, should be verified with the appropriate building and planning agencies. Zoning information should be verified with the appropriate planning agency. All parcels are reappraised each year. ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
APN,Add Rec,Situs,Sales Date,Sale Price,Sale Verf,RecDoc,Subdivision,Year Blt,Avg Yr Blt,BldgType,Stories,Bldg SF,Grade,Beds,Full Baths,Half Baths,Heat Type,Exterior Walls,Roof Type,Gar Type,Gar Area,Bsmt Type,Bsmt Area,LUC at Sale,Zoning (codes should be verified with the zoning authority) ,Acres,Owner1,Addl Owner,Mailing1,Mailing2,City,State,Zip,PriorOwner,PriorPID,LegalDesc,TaxDist,Total Units
001-082-04,,1840 BALBOA DR,2005-10-11 00:00:00,290000,2D,03290197,SIERRA VISTA VILLAS 1,1972,1972,Townhse Ins,TWO,1500,FAIR/AVG,3,2,1,FA/AC,HARDBOARD,COMP SHINGLE,GARA,483,,0,21,MF14,0.00100000004749745,,,,,,,,,,SIERRA VISTA VILLAS OF RENO 1 LT 4 BLK 2,1005,1
001-091-03,,3335 BRYAN ST,2005-09-20 00:00:00,300000,2D,03279670,SIERRA HEIGHTS RENO 5A,1966,1966,Sgl Fam Res ,ONE,1296,FAIR,4,2,0,FA,SIDING,COMP SHINGLE,GARA,483,,0,20,SF6 ,0.175999999046326,,,,,,,,,,SIERRA HEIGHTS RENO 5A LT 3 BLK B,1005,1
001-091-06,,3411 BRYAN ST,2005-06-30 00:00:00,252000,2D,03239465,SIERRA HEIGHTS RENO 5A,1966,1966,Sgl Fam Res ,ONE,1296,FAIR,4,2,0,FA,ASPH SHINGLE,COMP SHINGLE,GARA,483,,0,20,SF6 ,0.175999999046326,,,,,,,,,,SIERRA HEIGHTS RENO 5A LT 6 BLK B,1005,1
001-092-09,,3300 BRYAN ST,2005-11-21 00:00:00,225100,2D,03310891,SIERRA HEIGHTS RENO 5A,1966,1966,Sgl Fam Res ,ONE,1354,FAIR,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,420,,0,20,SF6 ,0.203999996185303,,,,,,,,,,SIERRA HEIGHTS RENO 5A LT 18 BLK D,1005,1
001-101-03,,2820 SEVERN DR,2005-08-30 00:00:00,365600,2D,03269716,PM 460,1980,1980,Sgl Fam Res ,TWO,1828,FAIR/AVG,3,3,0,FA/AC,HARDBOARD,COMP SHINGLE,GARA,469,,0,20,SF6 ,0.148000001907349,,,,,,,,,,PM 460 LT 3,1005,1
001-101-08,,2890 SEVERN DR,2005-04-14 00:00:00,285000,2D,03197951,SEVERN VIEW,1987,1987,Sgl Fam Res ,ONE,1336,FAIR/AVG,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,462,,0,20,SF6 ,0.1379999965429306,,,,,,,,,,SEVERN VIEW LT 1 BLK G,1005,1
001-102-11,,2930 HARDING CIR,2005-05-13 00:00:00,274000,2D,03213888,SUNBURST,1983,1983,Sgl Fam Res ,ONE,1168,FAIR,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,480,,0,20,SF6 ,0.11599999666214,,,,,,,,,,SUNBURST LT 18 BLK B,1005,1
001-104-06,,2505 BRYAN ST,2005-02-28 00:00:00,274000,2D,03175074,SUNBURST,1983,1983,Sgl Fam Res ,ONE,1168,FAIR,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,480,,0,20,SF6 ,0.149000003933907,,,,,,,,,,SUNBURST LT 36 BLK C,1005,1
001-111-09,,2790 SEVERN DR,2005-02-28 00:00:00,320000,2D,03175392,SEVERN HEIGHTS 1,1973,1973,Sgl Fam Res ,ONE,1248,FAIR,5,3,0,FA,HARDBOARD,COMP SHINGLE,GARA,528,Dugout,1248,20,SF6 ,0.19200000166893,,,,,,,,,,SEVERN HEIGHTS 1 LT 9,1005,1
001-112-03,,2765 SEVERN DR,2005-08-12 00:00:00,318500,2D,03260861,SEVERN HEIGHTS 1,1973,1973,Sgl Fam Res ,ONE,1464,FAIR,4,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,528,,0,20,SF6 ,0.171000003814697,,,,,,,,,,SEVERN HEIGHTS 1 LT 12,1005,1
