"All parcel data in this report is for use by the Washoe County Assessor for assessment purposes only. The summary data in this report may not be a complete representation of the parcel or of the improvements thereon. Building information, including unit counts and number of permitted units, should be verified with the appropriate building and planning agencies. Zoning information should be verified with the appropriate planning agency. All parcels are reappraised each year. ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
APN,Add Rec,Situs,Sales Date,Sale Price,Sale Verf,RecDoc,Subdivision,Year Blt,Avg Yr Blt,BldgType,Stories,Bldg SF,Grade,Beds,Full Baths,Half Baths,Heat Type,Exterior Walls,Roof Type,Gar Type,Gar Area,Bsmt Type,Bsmt Area,LUC at Sale,Zoning (codes should be verified with the zoning authority) ,Acres,Owner1,Addl Owner,Mailing1,Mailing2,City,State,Zip,PriorOwner,PriorPID,LegalDesc,TaxDist,Total Units
234-111-19,,1680 AUTUMN VALLEY WAY,2005-03-30 00:00:00,380000,2D,03190795,SIERRA CANYON @ SOMERSETT VG 1,2004,2004,Sgl Fam Res ,ONE,1440,AVG/GOOD,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,420,,0,20,PUD ,0.129843890666962,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 12,1011,1
234-112-02,,1785 AUTUMN VALLEY WAY,2005-02-28 00:00:00,426363,2D,03175616,SIERRA CANYON @ SOMERSETT VG 1,2004,2004,Sgl Fam Res ,ONE,2327,AVG/GOOD,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,462,,0,20,PUD ,0.16427914798259735,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 29,1011,1
234-112-03,,1775 AUTUMN VALLEY WAY,2005-01-14 00:00:00,573859,2D,03156842,SIERRA CANYON @ SOMERSETT VG 1,2004,2004,Sgl Fam Res ,ONE,2696,AVG/GOOD,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,618,,0,20,PUD ,0.166988059878349,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 28,1011,1
234-112-05,,1755 AUTUMN VALLEY WAY,2005-01-19 00:00:00,477477,2D,03158063,SIERRA CANYON @ SOMERSETT VG 1,2004,2004,Sgl Fam Res ,ONE,2696,AVG/GOOD,3,3,0,FA/AC,STUCCO,CONCRETE TIL,GARA,618,,0,20,PUD ,0.171166211366653,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 26,1011,1
234-112-07,,1735 AUTUMN VALLEY WAY,2005-02-07 00:00:00,379274,2D,03166682,SIERRA CANYON @ SOMERSETT VG 1,2004,2004,Sgl Fam Res ,ONE,1834,AVG/GOOD,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,517,,0,20,PUD ,0.152433425188065,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 24,1011,1
234-112-08,,1725 AUTUMN VALLEY WAY,2005-01-14 00:00:00,382769,2D,03156844,SIERRA CANYON @ SOMERSETT VG 1,2004,2004,Sgl Fam Res ,ONE,1626,AVG/GOOD,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,525,,0,20,PUD ,0.152387514710426,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 23,1011,1
234-112-09,,1715 AUTUMN VALLEY WAY,2005-03-09 00:00:00,400083,2D,03180439,SIERRA CANYON @ SOMERSETT VG 1,2004,2004,Sgl Fam Res ,ONE,1824,AVG/GOOD,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,517,,0,20,PUD ,0.152387514710426,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 22,1011,1
234-112-10,,1705 AUTUMN VALLEY WAY,2005-03-14 00:00:00,319433,2D,03182319,SIERRA CANYON @ SOMERSETT VG 1,2004,2004,Sgl Fam Res ,ONE,1644,AVG/GOOD,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,441,,0,20,PUD ,0.18838383257389069,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 21,1011,1
234-112-12,,9225 PALMETTO CT,2005-02-28 00:00:00,315675,2D,03175197,SIERRA CANYON @ SOMERSETT VG 1,2004,2004,Sgl Fam Res ,ONE,1644,AVG/GOOD,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,441,,0,20,PUD ,0.161937564611435,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 47,1011,1
234-112-13,,9235 PALMETTO CT,2005-02-17 00:00:00,332566,2D,03171549,SIERRA CANYON @ SOMERSETT VG 1,2004,2004,Sgl Fam Res ,ONE,1834,AVG/GOOD,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,517,,0,20,PUD ,0.161937564611435,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 46,1011,1
234-112-13,,9235 PALMETTO CT,2005-05-23 00:00:00,399900,2D,03218477,SIERRA CANYON @ SOMERSETT VG 1,2004,2004,Sgl Fam Res ,ONE,1834,AVG/GOOD,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,517,,0,20,PUD ,0.161937564611435,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 46,1011,1
234-112-14,,9245 PALMETTO CT,2005-02-11 00:00:00,369214,2D,03169063,SIERRA CANYON @ SOMERSETT VG 1,2004,2004,Sgl Fam Res ,ONE,1879,AVG/GOOD,3,3,0,FA/AC,STUCCO,CONCRETE TIL,GARA,624,,0,20,PUD ,0.161937564611435,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 45,1011,1
234-112-15,,9255 PALMETTO CT,2005-02-28 00:00:00,356069,2D,03175472,SIERRA CANYON @ SOMERSETT VG 1,2004,2004,Sgl Fam Res ,ONE,2025,AVG/GOOD,3,3,0,FA/AC,STUCCO,CONCRETE TIL,GARA,460,,0,20,PUD ,0.160078048706055,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 44,1011,1
234-112-16,,9265 PALMETTO CT,2005-02-15 00:00:00,260974,2D,03170420,SIERRA CANYON @ SOMERSETT VG 1,2004,2004,Sgl Fam Res ,ONE,1428,AVG/GOOD,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,420,,0,20,PUD ,0.125550970435143,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VILLAGE 1 LT 43,1011,1
234-112-17,,9275 PALMETTO CT,2005-12-16 00:00:00,374900,2D,03324666,SIERRA CANYON @ SOMERSETT VG 1,2004,2004,Sgl Fam Res ,ONE,1440,AVG/GOOD,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,420,,0,20,PUD ,0.141115695238113,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 42,1011,1
234-112-17,,9275 PALMETTO CT,2005-03-14 00:00:00,272098,2D,03182327,SIERRA CANYON @ SOMERSETT VG 1,2004,2004,Sgl Fam Res ,ONE,1440,AVG/GOOD,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,420,,0,20,PUD ,0.141115695238113,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 42,1011,1
234-112-17,,9275 PALMETTO CT,2005-05-31 00:00:00,335000,2D,03222700,SIERRA CANYON @ SOMERSETT VG 1,2004,2004,Sgl Fam Res ,ONE,1440,AVG/GOOD,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,420,,0,20,PUD ,0.141115695238113,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 42,1011,1
234-112-18,,9285 PALMETTO CT,2005-02-25 00:00:00,310518,2D,03174882,SIERRA CANYON @ SOMERSETT VG 1,2004,2004,Sgl Fam Res ,ONE,1440,AVG/GOOD,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,420,,0,20,PUD ,0.121143251657486,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 41,1011,1
234-112-18,,9285 PALMETTO CT,2005-12-16 00:00:00,360000,2D,03325081,SIERRA CANYON @ SOMERSETT VG 1,2004,2004,Sgl Fam Res ,ONE,1440,AVG/GOOD,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,420,,0,20,PUD ,0.121143251657486,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 41,1011,1
234-112-19,,9295 PALMETTO CT,2005-04-21 00:00:00,300012,2D,03201908,SIERRA CANYON @ SOMERSETT VG 1,2005,2005,Sgl Fam Res ,ONE,1410,AVG/GOOD,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,420,,0,20,PUD ,0.151928380131721,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 40,1011,1
234-112-19,,9295 PALMETTO CT,2005-07-12 00:00:00,384500,2D,03244112,SIERRA CANYON @ SOMERSETT VG 1,2005,2005,Sgl Fam Res ,ONE,1410,AVG/GOOD,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,420,,0,20,PUD ,0.151928380131721,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 40,1011,1
234-112-21,,9290 PALMETTO CT,2005-03-25 00:00:00,297289,2D,03188184,SIERRA CANYON @ SOMERSETT VG 1,2004,2004,Sgl Fam Res ,ONE,1410,AVG/GOOD,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,420,,0,20,PUD ,0.13879705965519,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 39,1011,1
234-112-22,,9270 PALMETTO CT,2005-03-22 00:00:00,278201,2D,03186391,SIERRA CANYON @ SOMERSETT VG 1,2004,2004,Sgl Fam Res ,ONE,1440,AVG/GOOD,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,420,,0,20,PUD ,0.126446276903152,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 38,1011,1
234-112-23,,9250 PALMETTO CT,2005-04-21 00:00:00,370796,2D,03201489,SIERRA CANYON @ SOMERSETT VG 1,2004,2004,Sgl Fam Res ,ONE,2033,AVG/GOOD,3,3,0,FA/AC,STUCCO,CONCRETE TIL,GARA,460,,0,20,PUD ,0.169191911816597,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 37,1011,1
234-112-24,,9230 PALMETTO CT,2005-03-17 00:00:00,375298,2D,03183981,SIERRA CANYON @ SOMERSETT VG 1,2004,2004,Sgl Fam Res ,ONE,1879,AVG/GOOD,2,3,0,FA/AC,STUCCO,CONCRETE TIL,GARA,624,,0,20,PUD ,0.18138200044632,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 36,1011,1
234-112-25,,9220 PALMETTO CT,2005-03-31 00:00:00,331577,2D,03191673,SIERRA CANYON @ SOMERSETT VG 1,2004,2004,Sgl Fam Res ,ONE,1644,AVG/GOOD,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,525,,0,20,PUD ,0.186455458402634,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 35,1011,1
234-112-26,,9210 PALMETTO CT,2005-03-17 00:00:00,303085,2D,03184162,SIERRA CANYON @ SOMERSETT VG 1,2004,2004,Sgl Fam Res ,ONE,1644,AVG/GOOD,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,525,,0,20,PUD ,0.229040399193764,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 34,1011,1
234-112-27,,9275 HIDDEN PARK DR,2005-04-27 00:00:00,296295,2D,03204818,SIERRA CANYON @ SOMERSETT VG 1,2005,2005,Sgl Fam Res ,ONE,1440,AVG/GOOD,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,420,,0,20,PUD ,0.135950416326523,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 33,1011,1
234-112-28,,9285 HIDDEN PARK DR,2005-04-27 00:00:00,272890,2D,03204681,SIERRA CANYON @ SOMERSETT VG 1,2005,2005,Sgl Fam Res ,ONE,1252,AVG/GOOD,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,399,,0,20,PUD ,0.137235999107361,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 32,1011,1
234-112-29,,9295 HIDDEN PARK DR,2005-04-29 00:00:00,305954,2D,03205988,SIERRA CANYON @ SOMERSETT VG 1,2005,2005,Sgl Fam Res ,ONE,1440,AVG/GOOD,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,420,,0,20,PUD ,0.146005511283875,,,,,,,,,234-021-21,SIERRA CANYON @ SOMERSETT VG 1 LT 31,1011,1
234-121-02,,8905 CHIPSHOT TRL,2005-10-21 00:00:00,625675,2D,03295893,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,TWO,3262,GOOD,3,2,1,FA/AC,STUCCO,CONCRETE TIL,GARB,516,,0,20,PUD ,0.626652896404266,,,,,,,,,234-012-05,4F @ SOMERSETT LT 413,1011,1
234-121-06,,8945 CHIPSHOT TRL,2005-09-27 00:00:00,557922,2D,03283298,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,ONE,2547,GOOD,3,3,0,FA/AC,STUCCO,CONCRETE TIL,GARA,672,,0,20,PUD ,0.270133137702942,,,,,,,,,234-012-05,4F @ SOMERSETT LT 417,1011,1
234-121-07,,8955 CHIPSHOT TRL,2005-09-01 00:00:00,512891,2D,03271967,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,ONE,2346,GOOD,3,2,1,FA/AC,STUCCO,CONCRETE TIL,GARA,757,,0,20,PUD ,0.2671487629413605,,,,,,,,,234-012-05,4F @ SOMERSETT LT 418,1011,1
234-121-08,,8965 CHIPSHOT TRL,2005-09-16 00:00:00,521593,2D,03278293,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,ONE,2553,GOOD,3,3,0,FA/AC,STUCCO,CONCRETE TIL,GARA,672,,0,20,PUD ,0.296235084533691,,,,,,,,,234-012-05,4F @ SOMERSETT LT 419,1011,1
234-121-09,,8975 CHIPSHOT TRL,2005-09-02 00:00:00,530072,2D,03272290,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,ONE,2346,GOOD,3,2,1,FA/AC,STUCCO,CONCRETE TIL,GARA,757,,0,20,PUD ,0.32373738288879395,,,,,,,,,234-012-05,4F @ SOMERSETT LT 420,1011,1
234-121-10,,8985 CHIPSHOT TRL,2005-09-12 00:00:00,517449,2D,032756108,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,ONE,2760,GOOD,3,2,1,FA/AC,STUCCO,CONCRETE TIL,MULT GAR,811,,0,20,PUD ,0.344260782003403,,,,,,,,,234-012-05,4F @ SOMERSETT LT 421,1011,1
234-121-12,,8997 CHIPSHOT TRL,2005-11-14 00:00:00,598672,2D,03307257,4F @ SOMERSETT,2005,2005,Sgl Fam Res ,ONE,2760,GOOD,3,2,1,FA/AC,STUCCO,CONCRETE TIL,MULT GAR,811,,0,20,PUD ,0.249104678630829,,,,,,,,,234-012-05,4F @ SOMERSETT LT 423,1011,1
234-121-15,,8996 CHIPSHOT TRL,2005-11-30 00:00:00,716000,2D,03315812,4F @ SOMERSETT,2005,2005,Sgl Fam Res ,ONE,2346,GOOD,3,2,1,FA/AC,STUCCO,CONCRETE TIL,GARA,757,,0,20,PUD ,0.318112939596176,,,,,,,,,234-012-05,4F @ SOMERSETT LT 425,1011,1
234-121-25,,8910 CHIPSHOT TRL,2005-08-29 00:00:00,717545,2D,03269430,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,ONE,1879,GOOD,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,499,,0,20,PUD ,0.196648299694061,,,,,,,,,234-012-05,4F @ SOMERSETT LT 435,1011,1
234-121-30,,8915 CHIPSHOT TRL,2005-10-26 00:00:00,688932,2D,03298145,4F @ SOMERSETT,2005,2005,Sgl Fam Res ,ONE,2760,GOOD,3,2,1,FA/AC,STUCCO,CONCRETE TIL,MULT GAR,811,,0,20,PUD ,0.5688245892524719,,,,,,,,,234-121-03,4F @ SOMERSETT FR LT 414,1011,1
234-121-31,,8925 CHIPSHOT TRL,2005-09-23 00:00:00,495000,2D,03282052,4F @ SOMERSETT,2005,2005,Sgl Fam Res ,ONE,2346,GOOD,3,2,1,FA/AC,STUCCO,CONCRETE TIL,GARA,757,,0,20,PUD ,0.292447209358215,,,,,,,,,234-121-04,4F @ SOMERSETT FR LT 415,1011,1
234-121-32,,8935 CHIPSHOT TRL,2005-12-16 00:00:00,559502,2D,03324997,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,ONE,2760,AVG/GOOD,3,2,1,FA/AC,STUCCO,CONCRETE TIL,MULT GAR,811,,0,20,PUD ,0.285422414541245,,,,,,,,,234-121-05,4F @ SOMERSETT FR LT 416,1011,1
234-131-04,,8860 CHIPSHOT TRL,2005-07-26 00:00:00,537370,2D,03251099,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,ONE,1879,GOOD,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,499,,0,20,PUD ,0.19336546957492828,,,,,,,,,234-012-05,4F @ SOMERSETT LT 440,1011,1
234-131-05,,8850 CHIPSHOT TRL,2005-08-04 00:00:00,439000,2D,03256120,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,TWO,2094,GOOD,3,2,1,FA/AC,STUCCO,CONCRETE TIL,GARA,518,,0,20,PUD ,0.206106513738632,,,,,,,,,234-012-05,4F @ SOMERSETT LT 441,1011,1
234-131-06,,8840 CHIPSHOT TRL,2005-11-21 00:00:00,402932,2D,03310954,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,ONE,1879,GOOD,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,499,,0,20,PUD ,0.203696057200432,,,,,,,,,234-012-05,4F @ SOMERSETT LT 442,1011,1
234-131-07,,8830 CHIPSHOT TRL,2005-07-08 00:00:00,397374,2D,03242634,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,ONE,1676,GOOD,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,539,,0,20,PUD ,0.218250691890717,,,,,,,,,234-012-05,4F @ SOMERSETT LT 443,1011,1
234-132-01,,8805 CHIPSHOT TRL,2005-11-23 00:00:00,444121,2D,03312508,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,ONE,1676,GOOD,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,539,,0,20,PUD ,0.190610647201538,,,,,,,,,234-012-05,4F @ SOMERSETT LT 444,1011,1
234-132-02,,8815 CHIPSHOT TRL,2005-07-29 00:00:00,526043,2D,03252826,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,TWO,2094,GOOD,3,2,1,FA/AC,STUCCO,CONCRETE TIL,GARA,518,,0,20,PUD ,0.197084486484528,,,,,,,,,234-012-05,4F @ SOMERSETT LT 445,1011,1
234-132-03,,8825 CHIPSHOT TRL,2005-06-30 00:00:00,440197,2D,03239809,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,ONE,1676,GOOD,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,539,,0,20,PUD ,0.18358585238456726,,,,,,,,,234-012-05,4F @ SOMERSETT LT 446,1011,1
234-132-04,,8835 CHIPSHOT TRL,2005-09-13 00:00:00,450855,2D,03276129,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,TWO,2094,GOOD,3,2,1,FA/AC,STUCCO,CONCRETE TIL,GARA,518,,0,20,PUD ,0.179040402173996,,,,,,,,,234-012-05,4F @ SOMERSETT LT 447,1011,1
234-132-05,,8845 CHIPSHOT TRL,2005-10-27 00:00:00,417035,2D,03298800,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,ONE,1879,GOOD,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,499,,0,20,PUD ,0.219926536083221,,,,,,,,,234-012-05,4F @ SOMERSETT LT 448,1011,1
234-132-06,,8901 BEACON RIDGE TRL,2005-11-28 00:00:00,414614,2D,03313640,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,ONE,1676,GOOD,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,539,,0,20,PUD ,0.2624885141849518,,,,,,,,,234-012-05,4F @ SOMERSETT LT 449,1011,1
234-132-07,,8907 BEACON RIDGE TRL,2005-06-29 00:00:00,391723,2D,03238767,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,ONE,1879,GOOD,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,499,,0,20,PUD ,0.208700641989708,,,,,,,,,234-012-05,4F @ SOMERSETT LT 450,1011,1
234-132-08,,8913 BEACON RIDGE TRL,2005-06-17 00:00:00,402076,2D,03231908,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,ONE,1676,GOOD,3,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,539,,0,20,PUD ,0.2348484843969345,,,,,,,,,234-012-05,4F @ SOMERSETT LT 451,1011,1
234-132-09,,8919 BEACON RIDGE TRL,2005-06-21 00:00:00,451037,2D,03232914,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,ONE,1879,GOOD,3,2,0,FA,STUCCO,CONCRETE TIL,GARA,499,,0,20,PUD ,0.225573927164078,,,,,,,,,234-012-05,4F @ SOMERSETT LT 452,1011,1
234-132-10,,8925 BEACON RIDGE TRL,2005-04-08 00:00:00,433102,2D,03195663,4 @ SOMERSETT,2004,2004,Sgl Fam Res ,TWO,2094,GOOD,3,2,1,FA,STUCCO,CONCRETE TIL,GARA,518,,0,20,PUD ,0.20222681760788,,,,,,,,,234-012-05,4F @ SOMERSETT LT 453,1011,1
234-132-11,,8931 BEACON RIDGE TRL,2005-03-11 00:00:00,401383,2D,03181816,4 @ SOMERSETT,2004,2004,Sgl Fam Res ,ONE,1676,GOOD,2,2,0,FA,STUCCO,CONCRETE TIL,GARA,539,,0,20,PUD ,0.184894397854805,,,,,,,,,234-012-05,4F @ SOMERSETT LT 454,1011,1
234-132-12,,8937 BEACON RIDGE TRL,2005-03-15 00:00:00,445554,2D,03183000,4 @ SOMERSETT,2004,2004,Sgl Fam Res ,ONE,1879,GOOD,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,499,,0,20,PUD ,0.1774793416261673,,,,,,,,,234-012-05,4F @ SOMERSETT LT 455,1011,1
234-132-13,,8943 BEACON RIDGE TRL,2005-03-31 00:00:00,445799,2D,03192214,4F @ SOMERSETT,2004,2004,Sgl Fam Res ,TWO,2094,GOOD,3,2,1,FA,STUCCO,CONCRETE TIL,GARA,518,,0,20,PUD ,0.173668503761292,,,,,,,,,234-012-05,4F @ SOMERSETT LT 456,1011,1
234-132-14,,8949 BEACON RIDGE TRL,2005-03-02 00:00:00,426254,2D,03177339,4 @ SOMERSETT,2004,2004,Sgl Fam Res ,ONE,1676,GOOD,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,539,,0,20,PUD ,0.172543615102768,,,,,,,,,234-012-05,4F @ SOMERSETT LT 457,1011,1
234-132-15,,8955 BEACON RIDGE TRL,2005-02-25 00:00:00,392551,2D,03174810,4 @ SOMERSETT,2004,2004,Sgl Fam Res ,ONE,1879,GOOD,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,499,,0,20,PUD ,0.167906329035759,,,,,,,,,234-012-05,4F @ SOMERSETT LT 458,1011,1
234-132-16,,8961 BEACON RIDGE TRL,2005-03-17 00:00:00,439334,2D,03184383,4 @ SOMERSETT,2004,2004,Sgl Fam Res ,TWO,2094,GOOD,3,2,1,FA/AC,STUCCO,CONCRETE TIL,GARA,518,,0,20,PUD ,0.18014232814312,,,,,,,,,234-012-05,4F @ SOMERSETT LT 459,1011,1
234-132-17,,8967 BEACON RIDGE TRL,2005-02-25 00:00:00,406608,2D,03174468,4 @ SOMERSETT,2004,2004,Sgl Fam Res ,ONE,1676,GOOD,2,2,0,FA/AC,STUCCO,CONCRETE TIL,GARA,539,,0,20,PUD ,0.160674929618835,,,,,,,,,234-012-05,4F @ SOMERSETT LT 460,1011,1
234-133-02,,8992 BEACON RIDGE TRL,2005-07-29 00:00:00,766568,2D,03253644,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,ONE,2553,GOOD,3,3,0,FA/AC,STUCCO,CONCRETE TIL,GARA,672,,0,20,PUD ,0.357529848814011,,,,,,,,,234-012-05,4F @ SOMERSETT LT 402,1011,1
234-133-03,,8986 BEACON RIDGE TRL,2005-07-29 00:00:00,741038,2D,03253737,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,TWO,2998,GOOD,3,2,1,FA/AC,STUCCO,CONCRETE TIL,MULT GAR,780,,0,20,PUD ,0.274012863636017,,,,,,,,,234-012-05,4F @ SOMERSETT LT 403,1011,1
234-133-04,,8980 BEACON RIDGE TRL,2005-05-10 00:00:00,690406,2D,03211691,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,ONE,2346,GOOD,2,2,1,FA/AC,STUCCO,CONCRETE TIL,GARA,757,,0,20,PUD ,0.257920116186142,,,,,,,,,234-012-05,4F @ SOMERSETT LT 404,1011,1
234-133-05,,8974 BEACON RIDGE TRL,2005-07-28 00:00:00,704637,2D,03252297,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,ONE,2547,GOOD,3,3,0,FA/AC,STUCCO,CONCRETE TIL,GARA,672,,0,20,PUD ,0.2523415982723236,,,,,,,,,234-012-05,4F @ SOMERSETT LT 405,1011,1
234-133-07,,8962 BEACON RIDGE TRL,2005-07-13 00:00:00,668240,2D,03244679,4F @ SOMERSETT,2005,2005,Sgl Fam Res ,ONE,2346,GOOD,3,2,1,FA/AC,STUCCO,CONCRETE TIL,GARA,757,,0,20,PUD ,0.25550964474678,,,,,,,,,234-012-05,4F @ SOMERSETT LT 407,1011,1
234-133-08,,8956 BEACON RIDGE TRL,2005-06-24 00:00:00,737804,2D,03235673,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,ONE,2760,GOOD,3,3,0,FA/AC,STUCCO,CONCRETE TIL,MULT GAR,811,,0,20,PUD ,0.260307610034943,,,,,,,,,234-012-05,4F @ SOMERSETT LT 408,1011,1
234-133-09,,8950 BEACON RIDGE TRL,2005-06-16 00:00:00,726803,2D,03231203,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,TWO,2998,GOOD,3,2,1,FA/AC,STUCCO,CONCRETE TIL,MULT GAR,780,,0,20,PUD ,0.313085407018661,,,,,,,,,234-012-05,4F @ SOMERSETT LT 409,1011,1
234-133-10,,8944 BEACON RIDGE TRL,2005-07-11 00:00:00,719464,2D,03243551,4 @ SOMERSETT,2005,2005,Sgl Fam Res ,ONE,2547,GOOD,3,3,0,FA/AC,STUCCO,CONCRETE TIL,GARA,672,,0,20,PUD ,0.302617073059082,,,,,,,,,234-012-05,4F @ SOMERSETT LT 410,1011,1
